IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
SYN0474,0.038463675076161434,-0.0038163107916576906,0.04475231822167095,-0.009635485875591274,-0.04123489513787594,0.02781846794874502,-0.01914839401139002,0.04412998867158315,-0.007844623000094052,-0.02435977254916126,-0.08210362689984825,0.001911399860546328,0.08709201484532335,0.032900710476106654,-0.07373006633971811,0.055765866568083536,-0.020181504566035593,-0.03783344417956561,0.038932035600892374,-0.03765505299958005
SYN0133,-0.04555723511938918,-0.03709791983133989,0.07899407620609254,0.03778894747763579,0.05996280469551381,-0.022485007543365017,-0.03531244050835581,0.014457589612183352,0.014939515667819495,0.004850244628407688,-0.021694727870231596,-0.01655197190744649,0.018509162498983503,0.01068476891065113,-0.04104971762909849,-0.0861367257126488,0.08144567771646777,-0.06119782731555726,0.009059214221354675,0.034434114224744586
SYN0473,0.02518366131162804,-0.084309387102797,0.008462225297695206,0.055557016139334336,-0.031296205453838565,-0.05646017672636229,0.012898088819461131,-0.0140503641385108,-0.0486566009705157,-0.0641037145445191,-0.026712500162412205,-0.01942672450797176,0.021524993759667953,0.021139901021825013,0.03886517907551772,-0.049106148193730915,-0.0013247480833898082,0.011087581251832172,0.0012301254709814174,0.020636901570052057
SYN0047,-0.04382791735042222,-0.08230209621304939,-0.022354111966703626,0.05290298903050408,-0.04882971155702976,0.021764921526993112,0.05792829117652693,0.03118302935540466,-0.09015493138239743,-0.005734997326679519,-0.058712155123827055,-0.004779039997992758,0.043271816126488415,0.009178264244870539,-0.0037120138860434653,-0.005172170766952695,-0.041223165939210785,-0.022211706217294673,0.07263789526275656,0.008714409889372308
SYN0041,-0.08655923589181709,0.031699090914084495,-0.0094832292141009,-0.011524722181188649,-0.03838166091085066,0.05659157416184357,-0.026957015902153287,0.03640464794016769,0.02994987072445257,-0.006698677282481949,-0.015560483484193468,0.07508672259270137,-0.026366580100171927,-0.05715389781322855,0.078538221461198,0.00317622040011158,0.036366545372238546,0.05228366947040981,0.042049262347569824,-0.03203505038390733
SYN0233,-0.012964970766752494,0.029260779676501293,-0.0006097196797596732,0.018510518332854598,-0.005267420525389475,-0.013931812890028587,0.004180666793107773,0.039864415032517496,-0.09848207562346381,-0.08126100377609814,0.004292588225189464,-0.007115855565249376,0.06578624180806256,0.04249510996188159,0.02485417847365206,0.019283596398235715,0.033220706271842974,0.0337346179115327,0.035617883180002134,0.05664052760114589
SYN0046,0.0262916833513281,0.025037801129149426,-0.046783390976392454,-0.0818201309589483,0.007905589524061622,-0.006264862789132735,-0.014451107758627114,-0.0011099265356817273,-0.09959172297105948,-0.0478889993503933,0.05475970222720282,0.02005180556159804,0.06623056320859098,-0.04136678841495427,0.04986954237876563,-0.04330181442974957,0.02492807563524966,-0.016243327891313972,-0.0068609949994378,-0.04576071603751265
SYN0429,0.030904196543130775,-0.022988811576016645,0.016792111987359293,0.041987914103320194,0.017246514925352695,-0.018766954265294764,0.03444624193257186,-0.014598501971622964,-0.011848453747373748,0.014714435413681635,0.03397796542307463,0.04734846476076446,0.05319663157775792,0.06163573869763011,-0.03319443095314147,0.0863916499360903,-0.03187030348570259,0.014532858519166645,-0.04297576562917977,-0.02310109930436783
SYN0327,-0.1070666222058319,0.03425094052908029,-0.025043354899277028,0.005946367184821302,-0.009095160318983296,-0.005997931473306493,0.04867787474914837,-0.021010796675257785,0.08995730527331357,0.04557602345017862,0.0921022516016407,0.03925337619069978,-0.05718379590262998,0.027662035237939676,-0.02730373722915261,-0.03907329482105526,-0.005954144865035456,-0.011511732360082726,-0.01909394954033953,0.12474078296241149
SYN0160,-0.013396583115956663,-0.016751049165930624,0.07380127607429875,0.01175426195316772,0.008378210683322054,-0.02752021556304228,-0.055622126521538605,-0.045423394635681326,-0.06742064027535795,-0.015618906978198859,-0.007633357839558629,0.017361660801865214,0.0717656831420969,0.04855894228110745,-0.0588223245373874,-0.021267334216351207,0.03353525005064847,-0.01125601799436273,-0.08160870138786194,0.019956912627901082
SYN0292,-0.051802401495472286,0.031779468745013646,-0.012381352729290982,-0.061550793889120825,0.01409067097547348,-0.08787209141548494,0.059074267605253444,-0.03852565744065488,0.0446270345273065,-0.025152516199338892,0.07777538626551166,-0.018718897067851157,-0.027575972334043568,0.019533747698060273,-0.025953982753784827,-0.05615810385132048,-0.026626176588564223,0.0370428518775588,-0.0027067741167656613,0.01596168875437054
SYN0236,-0.013950540209518584,-0.03887195915095514,-0.00815898641339716,-0.04357548946091792,-0.01931889199155289,0.03209396118116342,0.016882486071029445,0.07395880735200848,-0.021733766949148213,-0.06411723827371502,-0.06804632596643635,-0.0038326234885949577,0.011707547423969828,-0.010549827423262041,-0.09923766886985717,-0.038989626216194735,-0.02033148402835754,-0.028754820018124055,0.010629889770085806,0.04222381125918191
SYN0454,0.04536762491035967,-0.017713590152683766,0.039096588198092405,-3.112154167469126e-05,-0.023577319510252708,-0.05246097616358748,-0.017884342149929455,-0.036046893695854815,-0.05532936634274759,0.058412122428504555,-0.041506004217719314,0.037012312602105586,-0.024106374838585843,-0.022285274550689706,0.01332898018315354,-0.02329190977741619,0.053190707508022336,0.01189828650814245,0.01642942551353857,-0.0057332338492215645
SYN0108,0.00965792775700682,0.06805300351805334,0.052151934673882586,0.03128267898895737,-0.0069714846762000795,0.04810130183762195,-0.0432614976805483,0.050729575625116714,0.05582886249509468,-0.04642701076404119,-0.06447959600736694,-0.07528493733173881,0.003814424891678444,0.013607199578368165,-0.0003941936990713722,0.002671781479516867,-0.005438160926424138,-0.05362094527085268,-0.03022984900761018,0.031305794002428174
SYN0368,-0.03151450588355237,-0.16214428764302527,-0.021283815693440435,0.006149885657188459,-0.06975881724150691,-0.0743803354799286,-0.048447369882162895,0.004695839861102417,-0.028897356949214945,-0.02186203633520307,0.06095671765449872,0.03141811308855493,-0.02345274761864171,0.026574910557576707,0.013980473217500214,-0.03970069850826576,0.03930891381044805,-0.01068978863160477,-0.03681111096185404,0.06049288133658942
SYN0116,0.062136093149567105,0.003259187384762013,0.09203175827413528,-0.006664067597433869,-0.001525022496392048,0.08655679108803797,0.06248381713351156,-0.015232059839075458,0.023897236426318722,0.008445102026363125,0.03095705318444148,0.012231722581904997,0.08981989700343364,-0.04212672932537797,0.013944469969923646,0.009401957232780807,-0.014197281219063362,-0.02016641360295382,-0.007759980618752403,-0.0023153751421181026
SYN0281,0.006661169979260122,0.03789985177249874,-0.0272625491822829,-0.056439356056999256,-0.03238670190625662,-0.011619177198980785,0.036772122984487426,-0.044281586900677135,-0.015203432874553016,0.012124658559395747,0.02630462627798815,0.0549756733309199,-0.017586117585474226,0.025137157038116194,-0.007087785271129612,0.022100562481939416,0.053379975424177516,0.02252696989638358,-0.053346881302619865,0.04474136533247582
SYN0358,0.012657972751917601,-0.0008655302356382516,-0.006696267879598483,-0.028971367734547507,0.009276727752129118,-0.023808975555841144,-0.08319962209504536,-0.024869851083907792,-0.04773925068889522,-0.03485430576247137,-0.053071171559035187,0.012737157893792254,0.05989762048628317,0.003396169620814297,-0.059516494868223115,0.01942419956669722,0.04327356938529346,-0.014952954691532384,0.07236093451785722,-0.014873756691308986
SYN0186,0.03588736744962393,0.02556963096601826,-0.008575945828597123,-0.049313878011309355,0.09452671764315529,-0.008368903241673222,0.03502136165024053,-0.029546737741007537,-0.06900441979201462,-0.004449925978572274,-0.02692352902707865,0.018639138033745017,-0.060823827176702996,-0.04848243165645236,0.024827848329791413,0.0006372664677918895,-0.06747306680600537,-0.04081574296500218,-0.04521006160937652,0.025452871937581098
